"","dat_smoothed.1","dat_smoothed.2","dat_smoothed.3","dat_smoothed.4","dat_smoothed.5","dat_smoothed.6","dat_smoothed.7"
"FBgn0262473",4.8925238245236,5.21885428886536,5.39593119396182,5.11451048620968,4.92015630043206,4.86427002719219,5.04321930823017
"FBgn0262475",6.4779319052393,6.34532549181569,6.28754544265124,6.4804229934993,6.58463133365401,6.59902153193724,6.4438040866073
"FBgn0262476",5.94128384197751,5.97654608853807,5.99058680270227,5.9261986458791,5.88243827983052,5.85416432722216,5.8310745997884
"FBgn0262477",4.01476951415292,3.9320657738989,3.90165903205462,4.03655208904802,4.07218376844908,4.00531243312202,3.66848140185065
"FBgn0262478",3.90885344334334,4.00266237524036,4.04378893952669,3.91962609900274,3.87221778971596,3.90953323633673,4.15399666515713
"FBgn0262479",3.72340246933137,3.75496371862085,3.74984102008606,3.59918060273957,3.54028733320716,3.54702353035013,3.69119366378245
"FBgn0262480",0.374302381379148,0.415614768022649,0.450506627614746,0.513688061642295,0.581856012754324,0.697457704594111,1.01893696194061
"FBgn0262481",2.22567400241406,2.91722856945378,3.35950808254355,3.15380125851384,2.90742166372498,2.83477476693376,3.06716208500318
"FBgn0262482",3.31669106465481,3.41127721914119,3.44078140532298,3.24195496222898,3.1553514700216,3.16774138088695,3.39169257677585
"FBgn0262483",5.37447141895402,5.29058014676302,5.26542356167651,5.43922799456223,5.49849872756834,5.45128817737157,5.14497827782585
"FBgn0262485",3.77230824248714,3.87183947463205,3.91061083831487,3.75673580736099,3.70918399205844,3.77263986225888,4.12034931890745
"FBgn0262486",3.35141322075893,3.56071332953047,3.66792502201261,3.46096201748328,3.34580520912483,3.3520439978458,3.61340673987193
"FBgn0262487",4.96508254124571,5.13702223748719,5.22838752823878,5.07417270191234,4.97967249092895,4.97226196057967,5.13752038554713
"FBgn0262508",8.4803512013739,8.30504220404376,8.20549757955628,8.32007962482213,8.38780098123123,8.36731251594121,8.14515792533309
"FBgn0262509",5.78096461344551,5.73548229211297,5.68757789380091,5.5789259042718,5.51898725977921,5.45623740094986,5.32597125578047
"FBgn0262510",4.08080149763783,4.11390663052237,4.2484863108384,4.87298602109074,5.07775560758982,5.03483516758762,4.46343495717843
"FBgn0262511",7.98066488251988,7.96169811297548,7.95088219332798,7.95079185951657,7.92898678492855,7.87328447228123,7.69662443189687
"FBgn0262512",6.41584145917533,6.28004535953526,6.20975012402558,6.32775241397022,6.37217089675574,6.3151556291266,5.99729079848033
"FBgn0262513",0.598600192458257,1.04534617569061,1.2748636171466,0.812887078148673,0.511370023613416,0.419433019812908,0.673777553542956
"FBgn0262514",3.07137779595383,3.2720004939649,3.39679275192625,3.32380361724674,3.26069056040694,3.26860658061006,3.43341614881543
"FBgn0262515",8.32821644382356,8.31441033139798,8.30879020651611,8.31355096025853,8.28351506368289,8.20816906953995,7.97081523424377
"FBgn0262516",6.05637337428965,6.01782677949648,6.00699177320447,6.09450984668729,6.13169568248267,6.12553713234519,6.02617606084171
"FBgn0262517",5.46087395419342,5.43561033281212,5.4460226879954,5.60782673115904,5.68103568043056,5.69926351663087,5.62519710690534
"FBgn0262518",6.30794350786703,6.45716461995556,6.53963928134728,6.42158660642669,6.34087320983453,6.32453896330418,6.42648688717124
"FBgn0262519",6.34695854577303,6.40279764499069,6.46893377752366,6.62730134999567,6.67689895858874,6.6814374229048,6.60388324074354
"FBgn0262524",2.85296192772145,2.91783353697621,2.99271973411096,3.15060090751264,3.16838422250129,3.10780287688761,2.83762007455586
"FBgn0262527",6.24934229519752,6.26467602826169,6.29143217380368,6.37729564781346,6.39378995766097,6.36710829329192,6.23041034363157
"FBgn0262531",0.221261996477441,0.700924393876537,1.4828874297347,4.09924091588535,5.07567669277458,5.30190571308564,4.28474678544471
"FBgn0262532",5.7031856565749,5.77239971681527,5.8246301983235,5.83580282301626,5.79597328883819,5.72996754381617,5.55241390400892
"FBgn0262533",6.10658556355327,6.13889199745405,6.17219903640652,6.22135123886872,6.20555671012566,6.14538827167573,5.94164185468976
"FBgn0262534",1.04474125470241,1.26778811466109,1.350921333778,0.944760284725375,0.735219732955398,0.702230814562492,0.996435965534053
"FBgn0262535",4.31055409562242,4.29352165473008,4.24740107649905,4.06852286665424,4.03843633384668,4.10979699136124,4.44879181685655
"FBgn0262537",3.65380338839949,3.64592161891421,3.65211800678459,3.71211885847192,3.7240384768785,3.69821387215256,3.57286129487809
"FBgn0262538",5.2107355293544,5.05141023458794,4.92774206071296,4.83208135846115,4.79675729584677,4.72802282692028,4.52048081037973
"FBgn0262539",5.39385738076641,5.27337158438112,5.15517268714293,4.93968046648943,4.85369470108402,4.78792159137961,4.69379766408787
"FBgn0262540",0.0259639667372641,0.0401121385792447,-0.0105899997182927,-0.342717815513699,-0.446904744598202,-0.400063600765699,-0.00969319510224367
"FBgn0262541",-0.0460823074860096,0.481468060197946,0.754965818268243,0.254730886835324,-0.0217925197773191,0.0066089359253504,0.688073591174747
"FBgn0262543",2.53236920948231,2.57155220617257,2.57123034527001,2.42519104195768,2.38077921412079,2.41867765609059,2.65703647458294
"FBgn0262544",2.45941029484043,2.55182422887163,2.6068021837569,2.55402411069504,2.50795819734119,2.4899863435898,2.51451816016369
"FBgn0262546",2.91471203496777,2.98698717871789,2.97652572008448,2.64902470227092,2.54130684801337,2.60183403739563,3.05558466514803
"FBgn0262547",8.17965850989706,8.36957466106544,8.5239376767069,8.66539464488781,8.69358629405479,8.72301943032758,8.79162039443133
"FBgn0262559",8.83635756019457,8.70968687409465,8.60735609768895,8.50469081874779,8.45900938136533,8.3874435668333,8.19070791609421
"FBgn0262560",2.63053036118391,2.66107606305843,2.77408527011085,3.31148946183634,3.53525566375616,3.60297142757026,3.42862848683816
"FBgn0262562",5.5748050010553,5.48072885462402,5.4390783314789,5.56518130823209,5.62111996225816,5.60073577577961,5.40594007202503
"FBgn0262563",4.19706823369984,4.21903476895912,4.25680051160518,4.40722399577335,4.5023892794257,4.5981238243993,4.78736877778493
"FBgn0262564",2.59097514726906,1.93249170304711,1.57131755242197,2.11312174120564,2.48732639073543,2.58191491414101,2.18487228830324
"FBgn0262566",3.52948104914461,3.74840340868587,3.85357905505307,3.60705633987779,3.49447490541181,3.54241996843714,3.9629945091953
"FBgn0262568",4.3186059500481,4.34556787589345,4.31906396339568,4.07426214217944,3.99992450602382,4.04695401733409,4.37971515777465
"FBgn0262569",-0.232316775853739,0.070171606623174,0.16391423894975,-0.449959056629721,-0.667756659959304,-0.516783743445392,0.520095512236969
"FBgn0262570",3.01072562501928,3.13722760484745,3.19531434970659,3.0389486573487,2.97142101141569,3.00495888714884,3.27578566569107
"FBgn0262571",5.9961053051621,5.88602920145223,5.81221517184594,5.81303003582255,5.81526963375062,5.7719199337453,5.59218600133794
"FBgn0262574",5.27055235050716,5.2109489295666,5.12597772005741,4.85380122670721,4.71945347849573,4.62022225143541,4.492888230425
"FBgn0262575",3.0000185022661,3.21969421055065,3.35328478174929,3.25773468229703,3.18623772438312,3.20230457747044,3.41655483283193
"FBgn0262579",9.74315489799693,9.70861726608043,9.70102105028186,9.79332656537922,9.83560967508095,9.8384419703913,9.76452348900362
"FBgn0262580",1.82107034026114,1.36323454617691,1.12040110428531,1.56886536862714,1.90520046806372,2.07922009304223,2.07812567168355
"FBgn0262581",4.72584065037768,4.79626377377909,4.81050267490898,4.62705927098419,4.56639000224612,4.61250708703667,4.91667071579048
"FBgn0262582",5.88193101848057,5.91537321097376,5.93121472300378,5.89280175789516,5.87637048418134,5.88597588094911,5.95767224006743
"FBgn0262583",5.41428073565764,5.31739159833512,5.2730618408131,5.38423054481859,5.41372753656049,5.34648682384128,5.01967233174652
"FBgn0262592",3.30756076519964,3.47031752327195,3.52132123658956,3.18893860525941,3.0603828971638,3.11849249582068,3.60799102761926
"FBgn0262593",6.55657598979051,6.50632995934707,6.49622641871948,6.63035929226436,6.68072665944106,6.66065042129039,6.4800531662886
"FBgn0262598",4.5188921720852,4.58898358064104,4.61164279941948,4.47046100700102,4.4118526266408,4.42821446756103,4.61138902050594
"FBgn0262599",3.04686728515193,2.8139881880538,2.67996969756519,2.81422262250587,2.88183053317478,2.82033474881191,2.43467779219128
"FBgn0262601",3.35077384605843,3.44593655480154,3.57452611764535,3.93861962924562,4.06625109611413,4.09201326830133,3.94556875721063
"FBgn0262604",1.94662716415434,2.08478045913144,2.11999474748046,1.80644861909601,1.71463290841329,1.82706951683088,2.45636145835998
"FBgn0262606",0.65323867359434,0.591927121578584,0.564798814365636,0.66307827506361,0.737575904648443,0.794303928010052,0.867320453730807
"FBgn0262608",4.64758675541953,4.78943468826694,4.88783493147367,4.86574938390647,4.77558392991928,4.65798569902157,4.38040438252744
"FBgn0262610",2.90260294147132,3.06624166276654,3.15019622777967,2.99150627729924,2.90737971775985,2.92262758431564,3.15605123224777
"FBgn0262611",1.91498982309607,1.87451470516992,1.85586640672201,1.90848465538927,1.93695461663214,1.93911208504007,1.88954384373246
"FBgn0262612",2.82348435326953,2.65303629256462,2.56545598403868,2.73279056325805,2.82676973551169,2.82309941861757,2.61540187764
"FBgn0262613",0.926767219907489,1.15396386871854,1.32154471676694,1.32965849841999,1.17507103047975,0.929425851965994,0.279822246105357
"FBgn0262614",7.44085935751659,7.27486133655323,7.17173040859273,7.24204258515695,7.31641340020209,7.35018751296848,7.32851961068635
"FBgn0262616",3.66770619260639,3.87817206475201,3.99558679413808,3.84224191902682,3.74725756898139,3.75474089945379,3.98122011611112
