"","pvalue.t1.t0","pvalue.t2.t0","pvalue.t4.t0","pvalue.t5.t0","pvalue.t6.t0","pvalue.t8.t0","pvalue.t10.t0","pvalue.t12.t0","pvalue.t14.t0","pvalue.t16.t0","pvalue.t20.t0","pvalue.t24.t0","pvalue.t30.t0","pvalue.t36.t0","pvalue.t42.t0","pvalue.t48.t0"
"FBgn0000115",0.462016176945933,0.181998340634382,0.239943147751505,0.00131320377480068,0.165296459636482,0.0649958065062065,0.00202487799066273,0.0239888019570135,0.0710422918442081,0.0851964171076029,0.0701031586064301,0.0359115454951117,0.0129618552619648,0.0925586490604898,0.0127652738747466,0.174416267768251
"FBgn0000116",0.254683682030798,0.306535187972429,0.0941156185121303,0.192341061258476,0.0753882444545645,0.00442516861909107,0.0644239648971695,0.230905320393694,0.0318514009685312,0.0908237066746563,0.069744091926147,0.935485513320619,0.0767960060033308,0.165376897486604,0.609310896062213,0.54834601021472
"FBgn0000117",0.748338388548493,0.610814696061251,0.715349609650381,0.312028220186008,0.363410947538117,0.656638357496353,0.123213207144897,0.117520643412732,0.339187605295572,0.439413781583273,0.261746654314043,0.265264831131549,0.147057831714567,0.238893324578485,0.346876667768833,0.282982503901615
"FBgn0000119",0.726413029163938,0.522448050451457,0.608650183017541,0.0241951984768905,0.30815661291452,0.932695056705106,0.599777735525806,0.181180949319936,0.26915941759916,0.897755883042947,0.0782561897536111,0.518436001534624,0.719079289530306,0.36485962089635,0.174497551741723,0.140980564615005
"FBgn0000120",0.955849834828826,0.709549806930919,0.516782709528882,0.099603941022231,0.877411731539767,0.213701617563095,0.0155924591609951,0.00775154817208326,0.123366891905391,0.365192188933936,0.690405079804308,0.0815250002234878,0.0630948711703552,0.0254472391665009,0.0850541977854816,0.143383864531331
"FBgn0000121",0.689417471778476,0.70398006285003,0.679225915497632,0.617864940642979,0.551794244712943,0.482194539569159,0.702943872754481,0.857291743256088,0.783157051906344,0.442582956414054,0.123645453656342,0.148593518593438,0.157409010576277,0.973095905507078,0.197116394803929,0.157352297859997
"FBgn0000139",0.378243279523831,0.330937717955056,0.430637439401177,0.0568161877195639,0.592892053274691,0.720419064135491,0.656027897204548,0.892013669377934,0.804923126477036,0.315565476226126,0.227761720315783,0.908403893752681,0.284279202864091,0.541200954810179,0.688935191733045,0.306538947307691
"FBgn0000140",0.471956961688566,0.389302533057984,0.16144354212852,0.0429399285067209,0.417289526503045,0.357902544711217,0.231550105209026,0.296955535328478,0.840310659898172,0.849911056610454,0.504671867972131,0.188299625842775,0.281586055767825,0.419824518961235,0.179820563452318,0.381191151571812
"FBgn0000146",0.25500976931597,0.544697305175267,0.97801823869591,0.0798851826671886,0.293995534285641,0.673110060560605,0.3884601576334,0.148214046168903,0.068997680335329,0.708127922652782,0.0199409882457774,0.0512469647701218,0.0398683733108248,0.105492749802657,0.0234833166077563,0.194867977475987
"FBgn0000147",0.477799143345579,0.512393293556898,0.418021348197847,0.169923503251005,0.621535892056443,0.706663453663489,0.0577274274483156,0.0340785351074272,0.264501125619954,0.524619552444856,0.32915357968226,0.024917876455949,0.0145278686442322,0.0323156469193261,0.0286371186912275,0.0864621918306006
"FBgn0000150",0.823184422600363,0.40302400184443,0.0635088293958702,0.163153542662198,0.00994619860987417,0.133055868166902,0.605638821742287,0.7173097572753,0.0601798202818917,0.384205927275487,0.854089705949589,0.927201053262758,0.977569270726703,0.734346488592624,0.0749553792115586,0.42257746807206
"FBgn0000152",0.14274946553433,0.17387393319715,0.540844539705122,0.200053110026121,0.871488619364964,0.0906667187065532,0.629372266346489,0.210086907731155,0.524465274527102,0.219212974005449,0.377202892888918,0.378785238350854,0.682597538122046,0.928160318469615,0.148462512410856,0.831293709953389
"FBgn0000153",0.675759608635383,0.340149109434938,0.67600199070057,0.515286793585548,0.0405714752153024,0.0349682513399192,0.266098893631968,0.283559490487618,0.551218163895854,0.102371454034366,0.00311782803417235,0.0117849350333353,0.00322717055083389,0.00226840634242942,0.0898628120815216,0.00027390200162458
"FBgn0000157",0.101641509151964,0.247426693314131,0.141694406154428,0.0957302331194633,0.667467333170251,0.916079380763252,0.0441553715145127,0.0122957156018811,0.649115365543581,0.269151288426142,0.152169097338019,0.765424504520927,0.544243685224044,0.181865031872795,0.73635043769325,0.166538632000902
"FBgn0000158",0.833216960551122,0.727207440787721,0.188476206670567,0.733404955912571,0.540037561705702,0.997552234381149,0.597943148487456,0.772898173896736,0.460429429479232,0.545789235181271,0.753997377939777,0.921529742311378,0.607376793119805,0.898653279288692,0.958260602224315,0.344766380382625
"FBgn0000163",0.21528456653834,0.308140181476795,0.698521549159584,0.105655789894048,0.518770703287366,0.665346542103061,0.278591110650735,0.292730461101072,0.989982105072944,0.716040452580706,0.69877748921926,0.0986875434649051,0.170762727054497,0.505866256604044,0.730044393267383,0.0764876850186677
"FBgn0000173",0.53239455103877,0.273427491005091,0.00850765725969042,0.306270707255721,0.259242511304784,0.057069035416246,0.75541717205023,0.386375590799504,0.190931833167086,0.551419918004859,0.458301426753674,0.0430918020040326,0.111098716499723,0.138586020979938,0.0191230583030502,0.068065739534422
"FBgn0000179",0.893160467667695,0.0530805837319107,0.1774074723681,0.395845823027429,0.00369607146186399,0.546065910560483,0.0342628286972017,0.0513264983176291,0.320881983924537,0.223767599323182,0.168275728423065,0.287543595339456,0.15449407255363,0.0470202848442282,0.582718266832566,0.0101266687451256
"FBgn0000180",0.47447890040527,0.915117078978491,0.627257113167167,0.486902004066876,0.0591720945571655,0.555937567005192,0.105885170995853,0.949219491863432,0.925767734677478,0.998068170761979,0.438558642422845,0.786529075383435,0.953846651582691,0.942778250666942,0.932240517063492,0.399170763807927
"FBgn0000181",0.593525264436604,0.608645358539834,0.23180919854245,0.839702697551411,0.325100550236664,0.507190071529191,0.376373787162621,0.860515337788865,0.501095404381237,0.563227318349119,0.43383886914656,0.748418961886073,0.510234456511743,0.683554910682043,0.248431207042754,0.0853670585152482
"FBgn0000182",0.482280454508613,0.650741016389453,0.683972541641728,0.00273240315320513,0.997133673250593,0.376157670010605,0.139915311266057,0.44033602282504,0.965103066948981,0.963175330442638,0.486921400137295,0.737838755007955,0.157971623886987,0.563126683137575,0.444537678665425,0.733761618235964
