"","logFoldChange.t1.t0","logFoldChange.t2.t0","logFoldChange.t4.t0","logFoldChange.t5.t0","logFoldChange.t6.t0","logFoldChange.t8.t0","logFoldChange.t10.t0","logFoldChange.t12.t0","logFoldChange.t14.t0","logFoldChange.t16.t0","logFoldChange.t20.t0","logFoldChange.t24.t0","logFoldChange.t30.t0","logFoldChange.t36.t0","logFoldChange.t42.t0","logFoldChange.t48.t0"
"FBgn0060296",0.358717775505669,0.423765310110175,-0.13854862281599,-0.132767950788376,0.0320651708993847,-0.128105622779995,0.119835523202983,0.0113994047738677,-0.107600314258334,-0.07340880399809,0.0594184561573385,0.128598725070544,0.0216935178966118,0.0896481037748718,0.141856831943396,0.251257009476045
"FBgn0061188",0.21509829921376,-0.016200755950647,0.0798268617352815,0.0527839664192196,0.0702078120552092,0.133108501769385,-0.0526913986482747,-0.447972846253367,-0.141795949848308,0.0389759944975796,0.0328308417041963,-0.218466449210472,0.0433229744094552,-0.346642286537491,-0.550354983195017,-0.305001256182546
"FBgn0061196",-0.0722363947065547,-0.187864243691181,-0.0423153756658063,-0.166681186737637,-0.172709912009049,-0.0762979136849831,-0.346663710426183,-0.379965501718261,-0.301911102276378,-0.238911543261802,-0.194584123830688,-0.266488683873927,-0.333224512192918,-0.447521830660876,-0.36693901038348,-0.201713952897386
"FBgn0061197",-0.012781281316423,-0.0525174166874862,0.0692648463632146,-0.354744070753723,-0.058981376612774,0.0219586296484788,-0.329876701386274,-0.327839267407027,-0.154550044608891,-0.135488141814497,-0.115324209274805,-0.372681507709924,-0.263798006552355,-0.319473168372085,-0.31487968477729,-0.275405001072388
"FBgn0061198",0.0807182017031636,0.110073498434943,-0.0677810094440607,0.254600754638999,-0.0646716380558563,-0.0316377936403622,-0.133711652112386,0.0103823946726416,-0.146651189346741,-0.0851818662232686,-0.121464249425772,-0.138054297613601,-0.176982590956873,-0.105947951950249,-0.0241168385540611,-0.132850084996705
"FBgn0061200",-0.0540411736563335,0.1460239535997,0.114688196344883,-0.000994615840649971,0.224975211222292,0.202163932162606,0.27283827516432,0.211096827862747,0.186002927812186,0.136134577310976,0.212966973192775,0.106249552361533,0.24548827252733,0.270400966047798,0.256444355256238,0.208335155987844
"FBgn0061356",-0.200847385322717,-0.79140799519472,-1.24589022521682,-1.01183797069439,-1.43795923651856,-1.2422660812861,-0.726066244369645,-0.682505323475374,-0.995065964028307,-0.945169478092113,-0.469634785064197,0.077625754714866,-0.0888963638387059,-0.382904011289701,-0.0583176551488052,0.229050481292826
"FBgn0061435",-0.122237392418721,-0.186124766258732,-0.0918504999716285,-0.142081588737954,-0.161993577514925,-0.114926603166567,-0.491774075160913,-0.539683868588371,-0.368884375053804,-0.189189475221828,-0.308202188196558,-0.335785712936249,-0.37555604653691,-0.499969216081404,-0.300582710623401,-0.51118385377912
"FBgn0061469",-0.00138579770633029,-0.0101413148881546,0.090294384320817,-0.233706363007929,0.0510953331705153,0.0988386334959168,-0.129925153938042,-0.146724966173693,-0.0342687258057914,-0.0441442008388044,-0.0905856997640919,-0.179761614690193,-0.198478973148269,-0.1569569237979,-0.190576599433347,-0.163264817237521
"FBgn0061476",0.358207676020109,0.163837487237332,0.116392674848078,-0.0881869065001664,0.122693818904229,0.288813375698815,-0.0470513015448626,0.160933280393575,0.0508577178464189,0.293033960796219,-0.102862219299142,-0.148597991193104,0.0934734137426965,-0.060306734907758,-0.221778742084452,-0.0958780733543643
